# time  ID  size  fromHost  toHost  TTL  isResponse
1.0000 COVID1 197025 i1 d4139 1209600 N 
2.0000 COVID2 225083 i2 d4139 1209600 N 
3.0000 COVID3 249816 i2 d4139 1209600 N 
4.0000 COVID4 233541 i2 d4139 1209600 N 
5.0000 COVID5 172555 i2 d4139 1209600 N 
6.0000 COVID6 173265 i2 d4139 1209600 N 
7.0000 COVID7 127820 i1 d4139 1209600 N 
8.0000 COVID8 154607 i1 d4139 1209600 N 
9.0000 COVID9 115687 i0 d4139 1209600 N 
10.0000 COVID10 221050 i1 d4139 1209600 N 
11.0000 COVID11 203258 i1 d4139 1209600 N 
12.0000 COVID12 211652 i1 d4139 1209600 N 
13.0000 COVID13 159535 i0 d4139 1209600 N 
14.0000 COVID14 64680 i1 d4139 1209600 N 
15.0000 COVID15 169902 i1 d4139 1209600 N 
16.0000 COVID16 242192 i0 d4139 1209600 N 
17.0000 COVID17 171395 i0 d4139 1209600 N 
18.0000 COVID18 125262 i2 d4139 1209600 N 
19.0000 COVID19 179176 i0 d4139 1209600 N 
